N, user, item, mf, feature_mf, torch_mf, 
1,  0.57,  0.543,  0.545,  0.5496666666666666,  0.5324, 
2,  0.5301762593566066,  0.5230120746321243,  0.5206805946427866,  0.5256779172058352,  0.5182031270513077, 
3,  0.5414642344850571,  0.545210516453841,  0.5376003439337588,  0.5443047384829627,  0.5265564502638684, 
4,  0.543956431397429,  0.5460921890210376,  0.5472155559017231,  0.553755538651061,  0.5282421021774755, 
5,  0.5434266037577629,  0.5444501891758998,  0.5513412123852436,  0.5574994875042661,  0.5281095832670925, 
6,  0.5404051380827808,  0.5413796827387074,  0.5517300894660974,  0.5579373256978026,  0.5272322340125993, 
7,  0.5327175902487251,  0.5361215931080602,  0.5501258327413878,  0.5544231242121982,  0.5258500336137802, 
8,  0.5267802274803749,  0.5302601490685962,  0.5463710942188966,  0.5507740820132467,  0.5241555109836918, 
9,  0.5208127022133646,  0.523372591603766,  0.5413621531285152,  0.5456978100911708,  0.522085976454941, 
10,  0.5153516651966943,  0.5150569283648196,  0.5357977485080928,  0.5394335596700328,  0.519911491496332, 
11,  0.5090723027199702,  0.5079398802221561,  0.5304204976631818,  0.533473052108245,  0.5173941177176186, 
12,  0.5028878853457168,  0.5006152079445554,  0.5249429074483937,  0.5275246625335288,  0.5145257596103407, 
13,  0.49683732255876417,  0.4923050981323732,  0.5195215113356844,  0.5217440157487669,  0.5116845784674287, 
14,  0.4914302387974726,  0.48456896113788117,  0.5137494662008852,  0.516183266500126,  0.5089076868322708, 
15,  0.48533129466288893,  0.47857516354208385,  0.5082569116824603,  0.5110768848221651,  0.5061535342659584, 
16,  0.47935973819647454,  0.47223955910504356,  0.5033042445113826,  0.5058863426449033,  0.5032713854529522, 
17,  0.4732180999108094,  0.46558955368173055,  0.49834667076180084,  0.5006754229529642,  0.5005820078511338, 
18,  0.46743073327189033,  0.45980408042571586,  0.4935082301865776,  0.49611351504447443,  0.4980139200748693, 
19,  0.46253755097186944,  0.45404475579365433,  0.48908113760699545,  0.4915434913440553,  0.4954276221860735, 
20,  0.4582662942593842,  0.4483670212042804,  0.48490508457144577,  0.48712316213762985,  0.49294850270373725, 
21,  0.4538667379918815,  0.44268734285408534,  0.48072501490351577,  0.4827597582093455,  0.49053241777915546, 
22,  0.45004629212203123,  0.43798757538571537,  0.47672496544764736,  0.4786401112511984,  0.4881852320388673, 
23,  0.44676321535586005,  0.4334123925691687,  0.47307441179608484,  0.4747601527728278,  0.48593024590242856, 
24,  0.443221938504255,  0.42903937198447845,  0.4694901495278408,  0.4711060337468315,  0.48374269793214925, 
25,  0.43978259316164336,  0.42502036944778115,  0.4661249079793202,  0.46722906625301036,  0.48164694312351264, 
26,  0.43643244321197744,  0.42099312405394107,  0.46282821890561243,  0.4638370738407872,  0.4795494944557433, 
27,  0.4332723779125622,  0.41704539789427847,  0.4596690824504149,  0.4607189512077865,  0.47754894190186725, 
28,  0.43013862248804285,  0.4134362163491803,  0.4567205999911289,  0.45754559747290197,  0.4756041008952749, 
29,  0.427352470492921,  0.4095775414295621,  0.4538655372295484,  0.4546836019962853,  0.47369046424201633, 
30,  0.4245916586026313,  0.4060078725886468,  0.4511849900559295,  0.4519628252532336,  0.4718325469074579, 
31,  0.4220273206723041,  0.40257885058524817,  0.4485009804190842,  0.4494542397658049,  0.46996180981741725, 
32,  0.41967921723952917,  0.3992712293380849,  0.44609910705327077,  0.446895894766039,  0.4680764116859279, 
