K, cosine_ndcg, cosine_r, jaccard_ndcg, jaccard_r
1, 0.49154369613753773, 0.23586865670561324, 0.465232757006662, 0.22640370137109267
10, 0.5906106411907206, 0.2910356853291635, 0.5936287179323942, 0.28892654447002275
20, 0.5835666546431704, 0.2887179052831227, 0.5752333461901176, 0.2868232962689484
30, 0.5627889131575271, 0.29182946039467783, 0.5510786603955237, 0.2854816343077213
40, 0.5482474603138952, 0.2924070530918358, 0.5461630050338471, 0.2922873358525533
50, 0.54611849376137, 0.2898367067714894, 0.5428264054430265, 0.291873257177605
60, 0.5446742441402935, 0.2937704541834977, 0.5336316517478898, 0.2867304000347478
70, 0.5389506360167202, 0.2894651652695131, 0.5343437660505732, 0.2870125381864512
80, 0.5384279700689016, 0.2956278431713214, 0.5299012641657657, 0.28951978456326277
90, 0.5285060551549348, 0.2867908395951874, 0.525115582942541, 0.28751978456326277
100, 0.5336302653312666, 0.2931314193053324, 0.5289920439870321, 0.29366621784013086
