K, cosine_ndcg, cosine_r, jaccard_ndcg, jaccard_r
1, 0.4945351512399398, 0.2558293650793649, 0.4875570173254748, 0.26229761904761895
10, 0.5261104177090767, 0.6107738095238097, 0.5272273059004821, 0.6720873015873013
20, 0.5132307682959695, 0.6611944444444443, 0.5081299392299732, 0.6501944444444443
30, 0.4792387443986058, 0.64806746031746, 0.48147325956795883, 0.6498888888888886
40, 0.4490181299587426, 0.6395873015873014, 0.449867343724417, 0.6345873015873014
50, 0.43305850583989175, 0.6409166666666666, 0.43825643118456503, 0.6406785714285711
60, 0.42374391709802367, 0.6333809523809522, 0.43300660340099506, 0.6402619047619045
70, 0.4241856737592417, 0.6355595238095237, 0.4310115977353157, 0.6359761904761903
80, 0.4241790368476666, 0.6366309523809522, 0.430520281860351, 0.6361547619047616
90, 0.4225544506792538, 0.635142857142857, 0.4297881788910695, 0.6349047619047616
100, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
110, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
120, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
130, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
140, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
150, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
160, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
170, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
180, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
190, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
200, 0.42250880183286177, 0.635142857142857, 0.4303523107255212, 0.6361547619047616
