         p0     p1     p2     p3     p4     p5     p6     p7     p8     p9     p10    p11    p12    p13    p14  
  t0  |   1  |   1  |   0  |   1  |   0  |   1  |   1  |   0  |   1  |   0  |   0  |   1  |   0  |   1  |   0  |
  t1  |   1  |   1  |   0  |   0  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   1  |   1  |   0  |   0  |
  t2  |   1  |   1  |   0  |   0  |   0  |   0  |   1  |   1  |   1  |   0  |   0  |   0  |   1  |   0  |   0  |
  t3  |   0  |   1  |   1  |   1  |   0  |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |
  t4  |   1  |   0  |   0  |   1  |   0  |   0  |   0  |   0  |   1  |   0  |   0  |   1  |   1  |   1  |   0  |
  t5  |   1  |   0  |   0  |   0  |   0  |   0  |   1  |   1  |   0  |   0  |   0  |   1  |   1  |   1  |   0  |
  t6  |   1  |   1  |   1  |   1  |   1  |   0  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |
  t7  |   1  |   1  |   0  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |
  t8  |   1  |   1  |   0  |   0  |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |
  t9  |   0  |   1  |   1  |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   1  |   0  |   0  |   0  |
  t10 |   1  |   0  |   0  |   0  |   0  |   0  |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |
  t11 |   1  |   0  |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |
  t12 |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |
  t13 |   1  |   1  |   0  |   1  |   1  |   0  |   1  |   0  |   1  |   0  |   0  |   1  |   0  |   1  |   0  |
  t14 |   1  |   0  |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |
  t15 |   1  |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |
  t16 |   1  |   0  |   0  |   0  |   1  |   0  |   0  |   1  |   0  |   0  |   0  |   1  |   0  |   1  |   0  |
  t17 |   1  |   1  |   0  |   0  |   1  |   0  |   0  |   1  |   1  |   0  |   0  |   1  |   1  |   0  |   0  |
  t18 |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   1  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |
  t19 |   1  |   1  |   1  |   0  |   0  |   0  |   0  |   1  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |
  t20 |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   1  |   1  |   0  |   0  |   0  |   0  |   1  |   0  |
  t21 |   1  |   0  |   0  |   0  |   1  |   0  |   0  |   0  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |
  t22 |   0  |   0  |   0  |   0  |   0  |   0  |   1  |   1  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |
  t23 |   1  |   1  |   1  |   1  |   0  |   0  |   1  |   1  |   1  |   0  |   0  |   1  |   0  |   1  |   0  |
  t24 |   1  |   1  |   1  |   0  |   1  |   0  |   1  |   0  |   0  |   0  |   0  |   1  |   0  |   0  |   0  |
  t25 |   1  |   0  |   0  |   1  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   1  |   0  |
  t26 |   1  |   1  |   1  |   1  |   1  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |   0  |
