K, cosine_ndcg, cosine_r, jaccard_ndcg, jaccard_r
1, 0.5912588534385764, 0.25472222222222224, 0.5759191011713025, 0.26097222222222227
10, 0.6309395351565279, 0.5989880952380953, 0.629692681552924, 0.655079365079365
20, 0.6419709406041522, 0.6714087301587301, 0.6406326080748228, 0.6816269841269842
30, 0.5859054045102526, 0.6871825396825397, 0.589362373343186, 0.6934325396825397
40, 0.5429306398432174, 0.6816269841269842, 0.5482324671947618, 0.680734126984127
50, 0.517902908235555, 0.6800396825396826, 0.5247897262024862, 0.6862896825396826
60, 0.5131471146829465, 0.7046825396825398, 0.5192231521120666, 0.6934325396825398
70, 0.5063646133577799, 0.6828769841269842, 0.516850069977661, 0.6816269841269842
80, 0.508621652438577, 0.6934325396825397, 0.5146535154503104, 0.6816269841269842
90, 0.5034854087943736, 0.6816269841269842, 0.5159409585935976, 0.6878769841269843
100, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
110, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
120, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
130, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
140, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
150, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
160, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
170, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
180, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
190, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
200, 0.5034603429808241, 0.6816269841269842, 0.5159311316531057, 0.6878769841269843
