alpha, latent_features, steps, learning_rate, NDCG
1, 450, 800, 0.1, 0.5108634357018144
1, 450, 800, 0.05, 0.49857390219055886
1, 450, 800, 0.01, 0.49598686823768057
1, 450, 800, 0.005, 0.49196214576185604
1, 450, 800, 0.001, 0.3943080179966452
1, 450, 900, 1, 0.09205166238103968
1, 450, 900, 0.5, 0.0754061182645191
1, 450, 900, 0.1, 0.5232049611962927
1, 450, 900, 0.05, 0.510291341386877
1, 450, 900, 0.01, 0.4942802753478123
1, 450, 900, 0.005, 0.4962907809514655
1, 450, 900, 0.001, 0.40902006622048553
1, 450, 1000, 1, 0.09687765878369192
1, 450, 1000, 0.5, 0.08006010139478137
1, 450, 1000, 0.1, 0.4727237134158246
1, 450, 1000, 0.05, 0.5031652265865119
1, 450, 1000, 0.01, 0.49507613254124183
1, 450, 1000, 0.005, 0.4924308421235072
1, 450, 1000, 0.001, 0.4193185511848989
1, 500, 100, 1, 0.5175758876952737
1, 500, 100, 0.5, 0.4977555920393487
1, 500, 100, 0.1, 0.5030098117144778
1, 500, 100, 0.05, 0.4929814249722442
1, 500, 100, 0.01, 0.4222366251354374
1, 500, 100, 0.005, 0.3209003459524452
1, 500, 100, 0.001, 0.21912026915497204
1, 500, 200, 1, 0.13669674369074683
1, 500, 200, 0.5, 0.5248567680564672
1, 500, 200, 0.1, 0.496571605494078
1, 500, 200, 0.05, 0.4954126726038713
1, 500, 200, 0.01, 0.47140358095160534
1, 500, 200, 0.005, 0.42261237091843457
1, 500, 200, 0.001, 0.23485667788790834
1, 500, 300, 1, 0.10272479310815548
1, 500, 300, 0.5, 0.2115984086656211
1, 500, 300, 0.1, 0.5024626921984678
1, 500, 300, 0.05, 0.49714104835281425
1, 500, 300, 0.01, 0.4834937672315094
1, 500, 300, 0.005, 0.4566365276387447
1, 500, 300, 0.001, 0.2503068477814762
1, 500, 400, 1, 0.08377675112573808
1, 500, 400, 0.5, 0.13385500061640287
1, 500, 400, 0.1, 0.49871745707248594
1, 500, 400, 0.05, 0.4994862487443165
1, 500, 400, 0.01, 0.4899272213817091
1, 500, 400, 0.005, 0.46772227564303676
1, 500, 400, 0.001, 0.31318229079339927
1, 500, 500, 1, 0.07846880062147006
1, 500, 500, 0.5, 0.10844192653892504
1, 500, 500, 0.1, 0.5014664514336189
1, 500, 500, 0.05, 0.4975002623517531
1, 500, 500, 0.01, 0.49170024526748285
1, 500, 500, 0.005, 0.48010445390723366
1, 500, 500, 0.001, 0.3110305522849109
1, 500, 600, 1, 0.07864172816050563
1, 500, 600, 0.5, 0.09222473877047717
1, 500, 600, 0.1, 0.50288297489556
1, 500, 600, 0.05, 0.5023619424151644
1, 500, 600, 0.01, 0.4960988744096078
1, 500, 600, 0.005, 0.487989557955925
1, 500, 600, 0.001, 0.3522260341591796
1, 500, 700, 1, 0.07150717202376611
1, 500, 700, 0.5, 0.08963263763026173
1, 500, 700, 0.1, 0.5072097698421548
1, 500, 700, 0.05, 0.50652222547891
1, 500, 700, 0.01, 0.5015313662416031
1, 500, 700, 0.005, 0.4963962974165808
1, 500, 700, 0.001, 0.3658213743884966
1, 500, 800, 1, 0.07840874759470877
1, 500, 800, 0.5, 0.07846349690016967
1, 500, 800, 0.1, 0.5133319701766003
1, 500, 800, 0.05, 0.5033365113770693
1, 500, 800, 0.01, 0.491892383329989
1, 500, 800, 0.005, 0.4947477440410641
1, 500, 800, 0.001, 0.3695533719328061
1, 500, 900, 1, 0.08545655246707237
1, 500, 900, 0.5, 0.08184600526196349
1, 500, 900, 0.1, 0.5207310247076512
1, 500, 900, 0.05, 0.5104422225555714
1, 500, 900, 0.01, 0.5004098811902108
1, 500, 900, 0.005, 0.4919807286911025
1, 500, 900, 0.001, 0.39718872612192413
1, 500, 1000, 1, 0.08981577528898886
1, 500, 1000, 0.5, 0.0769534558218274
1, 500, 1000, 0.1, 0.5236979180522242
1, 500, 1000, 0.05, 0.5031874470491255
1, 500, 1000, 0.01, 0.4943618748704563
1, 500, 1000, 0.005, 0.4948899917490138
1, 500, 1000, 0.001, 0.41365496958047054
