alpha, latent_features, steps, learning_rate, NDCG
1, 100, 800, 0.05, 0.18519319460022746
1, 100, 800, 0.01, 0.5052703312421588
1, 100, 800, 0.005, 0.49776924563706104
1, 100, 800, 0.001, 0.4696471236755841
1, 100, 900, 1, 0.06438900229556359
1, 100, 900, 0.5, 0.06581053858561252
1, 100, 900, 0.1, 0.08724150129472036
1, 100, 900, 0.05, 0.1599751591061514
1, 100, 900, 0.01, 0.5040099010617407
1, 100, 900, 0.005, 0.497675212463159
1, 100, 900, 0.001, 0.47081422567158665
1, 100, 1000, 1, 0.060646634719359105
1, 100, 1000, 0.5, 0.07407147706131342
1, 100, 1000, 0.1, 0.08652359432252633
1, 100, 1000, 0.05, 0.13502978303432672
1, 100, 1000, 0.01, 0.5048419451494418
1, 100, 1000, 0.005, 0.49937581917530166
1, 100, 1000, 0.001, 0.47947744437215406
1, 150, 100, 1, 0.09749879947795859
1, 150, 100, 0.5, 0.2191033689139598
1, 150, 100, 0.1, 0.5079855570300023
1, 150, 100, 0.05, 0.4978550698503296
1, 150, 100, 0.01, 0.46981370241994236
1, 150, 100, 0.005, 0.39981040146782226
1, 150, 100, 0.001, 0.2194303690281974
1, 150, 200, 1, 0.07381910254029225
1, 150, 200, 0.5, 0.09777020221401712
1, 150, 200, 0.1, 0.5077821335224285
1, 150, 200, 0.05, 0.503001796583357
1, 150, 200, 0.01, 0.4866278807233759
1, 150, 200, 0.005, 0.4599428795049416
1, 150, 200, 0.001, 0.2855044081947305
1, 150, 300, 1, 0.0680507801385782
1, 150, 300, 0.5, 0.08059088776774723
1, 150, 300, 0.1, 0.502544256019073
1, 150, 300, 0.05, 0.5028596723654855
1, 150, 300, 0.01, 0.49239221915087544
1, 150, 300, 0.005, 0.490953627064284
1, 150, 300, 0.001, 0.3425803263205587
1, 150, 400, 1, 0.07047581555557696
1, 150, 400, 0.5, 0.07897022200339125
1, 150, 400, 0.1, 0.3256971756146393
1, 150, 400, 0.05, 0.5015792308539556
1, 150, 400, 0.01, 0.5006552001308161
1, 150, 400, 0.005, 0.48715835805217556
1, 150, 400, 0.001, 0.37256965615720433
1, 150, 500, 1, 0.06934525528481737
1, 150, 500, 0.5, 0.0736568797909112
1, 150, 500, 0.1, 0.20371474530037378
1, 150, 500, 0.05, 0.5074701348992662
1, 150, 500, 0.01, 0.5029189760678265
1, 150, 500, 0.005, 0.495132940418288
1, 150, 500, 0.001, 0.40349696478844155
1, 150, 600, 1, 0.07246953498186022
1, 150, 600, 0.5, 0.07470814738382271
1, 150, 600, 0.1, 0.15641048076829614
1, 150, 600, 0.05, 0.5108956854061301
1, 150, 600, 0.01, 0.49915459065373935
1, 150, 600, 0.005, 0.49810545198044676
1, 150, 600, 0.001, 0.4242878904764
1, 150, 700, 1, 0.0661810015583299
1, 150, 700, 0.5, 0.07044414432293575
1, 150, 700, 0.1, 0.12405658765182175
1, 150, 700, 0.05, 0.4374310547006986
1, 150, 700, 0.01, 0.5046868195324629
1, 150, 700, 0.005, 0.4979464651281451
1, 150, 700, 0.001, 0.43143249634566294
1, 150, 800, 1, 0.07426942171697624
1, 150, 800, 0.5, 0.07254977065366673
1, 150, 800, 0.1, 0.11983261749760636
1, 150, 800, 0.05, 0.32741125244490304
1, 150, 800, 0.01, 0.502342692388979
1, 150, 800, 0.005, 0.5026831414634001
1, 150, 800, 0.001, 0.45202108227756777
1, 150, 900, 1, 0.08851191255786091
1, 150, 900, 0.5, 0.06709105178322756
1, 150, 900, 0.1, 0.09768043188343661
1, 150, 900, 0.05, 0.2560594635389339
1, 150, 900, 0.01, 0.5038124907646768
1, 150, 900, 0.005, 0.4982023741521999
1, 150, 900, 0.001, 0.45352155822585344
1, 150, 1000, 1, 0.1094262389207175
1, 150, 1000, 0.5, 0.07229902003783228
1, 150, 1000, 0.1, 0.09064332219503725
1, 150, 1000, 0.05, 0.21858681029524582
1, 150, 1000, 0.01, 0.4982773365896632
1, 150, 1000, 0.005, 0.49238435350291077
1, 150, 1000, 0.001, 0.45962134038565977
1, 200, 100, 1, 0.10896690366463585
1, 200, 100, 0.5, 0.3748369211073588
1, 200, 100, 0.1, 0.49340675176132964
1, 200, 100, 0.05, 0.49798768539900334
1, 200, 100, 0.01, 0.4478216095791435
1, 200, 100, 0.005, 0.38949347313131943
1, 200, 100, 0.001, 0.23414670869721804
1, 200, 200, 1, 0.07821436666436316
1, 200, 200, 0.5, 0.10754022403656782
1, 200, 200, 0.1, 0.5023472488063178
1, 200, 200, 0.05, 0.4993750579332098
1, 200, 200, 0.01, 0.4920097432308609
1, 200, 200, 0.005, 0.44942598150377266
1, 200, 200, 0.001, 0.2677148329705783
1, 200, 300, 1, 0.06726944133202875
1, 200, 300, 0.5, 0.0855015904741607
1, 200, 300, 0.1, 0.5031083189797597
1, 200, 300, 0.05, 0.4972723913162159
1, 200, 300, 0.01, 0.4948503601679805
1, 200, 300, 0.005, 0.47064027042461565
1, 200, 300, 0.001, 0.297153496126686
1, 200, 400, 1, 0.07417040483049675
1, 200, 400, 0.5, 0.08363035099996194
1, 200, 400, 0.1, 0.5125477362242238
1, 200, 400, 0.05, 0.5068710313612882
1, 200, 400, 0.01, 0.49839897304701003
1, 200, 400, 0.005, 0.4885568428099866
1, 200, 400, 0.001, 0.34514280273988623
1, 200, 500, 1, 0.07232993072713113
1, 200, 500, 0.5, 0.07572476278596525
1, 200, 500, 0.1, 0.3575199548199444
1, 200, 500, 0.05, 0.5061543790121167
1, 200, 500, 0.01, 0.5008548261980443
1, 200, 500, 0.005, 0.4893535099989688
1, 200, 500, 0.001, 0.3806949100318737
1, 200, 600, 1, 0.07174818644132504
1, 200, 600, 0.5, 0.07578462636050129
1, 200, 600, 0.1, 0.23842350337334445
1, 200, 600, 0.05, 0.5126359032439013
1, 200, 600, 0.01, 0.4991758279429184
1, 200, 600, 0.005, 0.49499592375381035
1, 200, 600, 0.001, 0.41318859371747574
1, 200, 700, 1, 0.07948008073813162
1, 200, 700, 0.5, 0.07169246720352562
1, 200, 700, 0.1, 0.17173849278181558
1, 200, 700, 0.05, 0.5108067971109305
1, 200, 700, 0.01, 0.49667442832252745
1, 200, 700, 0.005, 0.4951458628830983
1, 200, 700, 0.001, 0.42146529264976657
1, 200, 800, 1, 0.0996413813620139
1, 200, 800, 0.5, 0.07013382364297115
1, 200, 800, 0.1, 0.14917640823722397
1, 200, 800, 0.05, 0.5062825230576814
1, 200, 800, 0.01, 0.5022615848087223
1, 200, 800, 0.005, 0.49215619318305226
1, 200, 800, 0.001, 0.42883166861196104
1, 200, 900, 1, 0.10511382779471762
1, 200, 900, 0.5, 0.07175362483562088
1, 200, 900, 0.1, 0.1270149006762472
1, 200, 900, 0.05, 0.46186574013464865
1, 200, 900, 0.01, 0.5018662649352885
1, 200, 900, 0.005, 0.4990760770808717
1, 200, 900, 0.001, 0.44694766799657476
1, 200, 1000, 1, 0.11969006138649135
1, 200, 1000, 0.5, 0.06301330500795152
1, 200, 1000, 0.1, 0.11577865899415489
1, 200, 1000, 0.05, 0.35817527582347936
1, 200, 1000, 0.01, 0.5044313365533112
1, 200, 1000, 0.005, 0.5056138835786131
1, 200, 1000, 0.001, 0.45003753768317634
1, 250, 100, 1, 0.1483406401846237
1, 250, 100, 0.5, 0.5093015625890335
1, 250, 100, 0.1, 0.49445350433179014
1, 250, 100, 0.05, 0.49851695930694817
1, 250, 100, 0.01, 0.44916775623175387
1, 250, 100, 0.005, 0.3604385978162796
