alpha, beta, latent_features, steps, NDCG
100, 0.01, 100, 150, 0.27481366897388565
100, 0.01, 100, 200, 0.2686440538510688
100, 0.001, 5, 50, 0.25873147326267604
100, 0.001, 5, 100, 0.259030346177986
100, 0.001, 5, 150, 0.2511850443586605
100, 0.001, 5, 200, 0.25106492873684844
100, 0.001, 10, 50, 0.24599750055900102
100, 0.001, 10, 100, 0.2383546564070935
100, 0.001, 10, 150, 0.235825277247071
100, 0.001, 10, 200, 0.23774655453422439
100, 0.001, 20, 50, 0.2062554439050097
100, 0.001, 20, 100, 0.2018893308111225
100, 0.001, 20, 150, 0.19835046172209325
100, 0.001, 20, 200, 0.2096258713283537
100, 0.001, 30, 50, 0.22071962141672327
100, 0.001, 30, 100, 0.21572607120772264
100, 0.001, 30, 150, 0.22416930492013243
100, 0.001, 30, 200, 0.22005333761118392
100, 0.001, 50, 50, 0.25932364951667447
100, 0.001, 50, 100, 0.2525349921883611
100, 0.001, 50, 150, 0.2601903127354071
100, 0.001, 50, 200, 0.2555666334300221
100, 0.001, 80, 50, 0.2831219690401755
100, 0.001, 80, 100, 0.2851293603135982
100, 0.001, 80, 150, 0.2797592033586339
100, 0.001, 80, 200, 0.28104909281250856
100, 0.001, 100, 50, 0.28255138682012126
100, 0.001, 100, 100, 0.2769401534322494
100, 0.001, 100, 150, 0.28832986524770504
100, 0.001, 100, 200, 0.2754761778977855
100, 0.0001, 5, 50, 0.2581542538054341
100, 0.0001, 5, 100, 0.2555877050053444
100, 0.0001, 5, 150, 0.26820447220280175
100, 0.0001, 5, 200, 0.26105755678754605
100, 0.0001, 10, 50, 0.23542053486998218
100, 0.0001, 10, 100, 0.23643490413588683
100, 0.0001, 10, 150, 0.25091206870722155
100, 0.0001, 10, 200, 0.24830654957926568
100, 0.0001, 20, 50, 0.21448092389257753
100, 0.0001, 20, 100, 0.19301862524152635
100, 0.0001, 20, 150, 0.20698005809613132
100, 0.0001, 20, 200, 0.20102573180083588
100, 0.0001, 30, 50, 0.2213630188166103
100, 0.0001, 30, 100, 0.21281787692710555
100, 0.0001, 30, 150, 0.21734545973799302
100, 0.0001, 30, 200, 0.21849372668425748
100, 0.0001, 50, 50, 0.2587486987253978
100, 0.0001, 50, 100, 0.261135682961653
100, 0.0001, 50, 150, 0.2575656784290329
100, 0.0001, 50, 200, 0.25851587104410656
100, 0.0001, 80, 50, 0.27715784788994635
100, 0.0001, 80, 100, 0.2827657984307189
100, 0.0001, 80, 150, 0.280218897020521
100, 0.0001, 80, 200, 0.28650008003857613
100, 0.0001, 100, 50, 0.27497124708846776
100, 0.0001, 100, 100, 0.27017047193764787
100, 0.0001, 100, 150, 0.2752407592194739
100, 0.0001, 100, 200, 0.2878467053635456
100, 1e-05, 5, 50, 0.27235954177745664
100, 1e-05, 5, 100, 0.26325931701314914
100, 1e-05, 5, 150, 0.24265141796376857
100, 1e-05, 5, 200, 0.257632587280394
100, 1e-05, 10, 50, 0.2369332646747422
100, 1e-05, 10, 100, 0.24472018377370383
100, 1e-05, 10, 150, 0.2428972933892258
100, 1e-05, 10, 200, 0.23691932994031786
100, 1e-05, 20, 50, 0.20768639837343023
100, 1e-05, 20, 100, 0.20496836947307412
100, 1e-05, 20, 150, 0.2021336833967496
100, 1e-05, 20, 200, 0.20683378064864968
100, 1e-05, 30, 50, 0.20942114226577976
100, 1e-05, 30, 100, 0.23077212658184648
100, 1e-05, 30, 150, 0.22785613040926514
100, 1e-05, 30, 200, 0.21219360353444397
100, 1e-05, 50, 50, 0.2603592494708821
100, 1e-05, 50, 100, 0.26884113819384026
100, 1e-05, 50, 150, 0.26027033173585296
100, 1e-05, 50, 200, 0.2521562714034318
100, 1e-05, 80, 50, 0.2876501629050288
100, 1e-05, 80, 100, 0.28065385250603087
100, 1e-05, 80, 150, 0.28039344990805565
100, 1e-05, 80, 200, 0.28180530243609536
100, 1e-05, 100, 50, 0.27757794086321125
100, 1e-05, 100, 100, 0.27898854440415505
100, 1e-05, 100, 150, 0.2717221914795578
100, 1e-05, 100, 200, 0.26158884478014227
100, 1e-06, 5, 50, 0.2501904917823619
100, 1e-06, 5, 100, 0.2581329989549645
100, 1e-06, 5, 150, 0.26424036619796365
100, 1e-06, 5, 200, 0.25836956589418775
100, 1e-06, 10, 50, 0.23501560704301552
100, 1e-06, 10, 100, 0.24340074945900028
100, 1e-06, 10, 150, 0.24241472762081473
100, 1e-06, 10, 200, 0.24637008438095476
100, 1e-06, 20, 50, 0.21173694511705482
100, 1e-06, 20, 100, 0.1993263595277366
100, 1e-06, 20, 150, 0.20810855153366914
100, 1e-06, 20, 200, 0.20642457213725368
100, 1e-06, 30, 50, 0.2252393983738871
100, 1e-06, 30, 100, 0.21212497510548414
100, 1e-06, 30, 150, 0.21552478454727506
100, 1e-06, 30, 200, 0.21131724513064057
100, 1e-06, 50, 50, 0.26071002093879864
100, 1e-06, 50, 100, 0.25481118682111203
100, 1e-06, 50, 150, 0.26559290759105264
100, 1e-06, 50, 200, 0.26233578512241473
100, 1e-06, 80, 50, 0.2724978429320803
100, 1e-06, 80, 100, 0.2768666821094149
100, 1e-06, 80, 150, 0.28658444312044007
100, 1e-06, 80, 200, 0.275606520045722
100, 1e-06, 100, 50, 0.268480533773796
100, 1e-06, 100, 100, 0.27167252566686917
100, 1e-06, 100, 150, 0.2790846184313258
100, 1e-06, 100, 200, 0.2732875502063935
10, 100, 5, 50, 0.3679106389693369
10, 100, 5, 100, 0.373205052266756
10, 100, 5, 150, 0.3655414606645197
10, 100, 5, 200, 0.3728580479300857
10, 100, 10, 50, 0.38660131468145975
10, 100, 10, 100, 0.39658200605299926
10, 100, 10, 150, 0.39840565524078714
10, 100, 10, 200, 0.3881428706674723
10, 100, 20, 50, 0.3916707864920739
10, 100, 20, 100, 0.39448606666074765
10, 100, 20, 150, 0.3995639177814848
10, 100, 20, 200, 0.4072808043746663
10, 100, 30, 50, 0.4026131427062905
10, 100, 30, 100, 0.39865545225591226
10, 100, 30, 150, 0.4059058108332618
10, 100, 30, 200, 0.38859759545002287
10, 100, 50, 50, 0.39618302988450865
10, 100, 50, 100, 0.3989124784489163
10, 100, 50, 150, 0.4107343206061665
10, 100, 50, 200, 0.3934705833749479
10, 100, 80, 50, 0.398620605864378
10, 100, 80, 100, 0.4006134048322455
10, 100, 80, 150, 0.3918738696531671
10, 100, 80, 200, 0.39831077518489283
10, 100, 100, 50, 0.388977639081977
10, 100, 100, 100, 0.3879850910446485
10, 100, 100, 150, 0.39647382807997894
10, 100, 100, 200, 0.3912217564294134
10, 10, 5, 50, 0.3792833602802565
10, 10, 5, 100, 0.3713983255577739
10, 10, 5, 150, 0.36086332762810863
10, 10, 5, 200, 0.37193988968568703
10, 10, 10, 50, 0.4100225417002033
10, 10, 10, 100, 0.40667986821895646
10, 10, 10, 150, 0.4079480177884253
10, 10, 10, 200, 0.40759728838887005
10, 10, 20, 50, 0.4189966704993237
10, 10, 20, 100, 0.4161499947976837
10, 10, 20, 150, 0.4157732979619262
10, 10, 20, 200, 0.4104182119163813
10, 10, 30, 50, 0.4000011355111479
10, 10, 30, 100, 0.3982985276863662
10, 10, 30, 150, 0.3930867439199324
10, 10, 30, 200, 0.4030757153085881
10, 10, 50, 50, 0.3780011483610171
10, 10, 50, 100, 0.37694525186150396
10, 10, 50, 150, 0.37769175505426145
10, 10, 50, 200, 0.36821793408482784
10, 10, 80, 50, 0.3612766051528204
10, 10, 80, 100, 0.3622751100837411
10, 10, 80, 150, 0.3602596140025045
10, 10, 80, 200, 0.35450665363735673
10, 10, 100, 50, 0.3469791041292556
10, 10, 100, 100, 0.33873978814624767
10, 10, 100, 150, 0.3451373626548032
10, 10, 100, 200, 0.3516590887167924
10, 1, 5, 50, 0.36477552383114037
10, 1, 5, 100, 0.37042560907031313
10, 1, 5, 150, 0.36594752809587705
10, 1, 5, 200, 0.3725276274917161
10, 1, 10, 50, 0.3994200241075523
10, 1, 10, 100, 0.40332594845899633
10, 1, 10, 150, 0.4074336815230413
10, 1, 10, 200, 0.39763866999655456
10, 1, 20, 50, 0.40247659571327526
10, 1, 20, 100, 0.4076699385826103
10, 1, 20, 150, 0.4013986241506157
10, 1, 20, 200, 0.40128201812277864
10, 1, 30, 50, 0.38933741479488515
10, 1, 30, 100, 0.39418068923702115
10, 1, 30, 150, 0.38859360197072357
10, 1, 30, 200, 0.3847214012397741
10, 1, 50, 50, 0.3549768572662994
10, 1, 50, 100, 0.3607209942735196
10, 1, 50, 150, 0.3514750154252987
10, 1, 50, 200, 0.3584487428345589
10, 1, 80, 50, 0.3229880877712335
10, 1, 80, 100, 0.32244507545946155
10, 1, 80, 150, 0.3306215021618611
10, 1, 80, 200, 0.32680873443118563
10, 1, 100, 50, 0.30747286476046526
10, 1, 100, 100, 0.3079551301423844
10, 1, 100, 150, 0.30812611670114054
10, 1, 100, 200, 0.31130735865200027
10, 0.1, 5, 50, 0.37372383058854086
10, 0.1, 5, 100, 0.3702972367591088
10, 0.1, 5, 150, 0.3716322252722284
10, 0.1, 5, 200, 0.36478184935550434
10, 0.1, 10, 50, 0.40851984307297506
10, 0.1, 10, 100, 0.40929651909552367
10, 0.1, 10, 150, 0.39519414614350873
10, 0.1, 10, 200, 0.40610616272820077
10, 0.1, 20, 50, 0.39642701599316466
10, 0.1, 20, 100, 0.400259310447094
10, 0.1, 20, 150, 0.38967217755285394
10, 0.1, 20, 200, 0.4007809602331437
10, 0.1, 30, 50, 0.39495577246013974
10, 0.1, 30, 100, 0.3896424834624975
10, 0.1, 30, 150, 0.3892170998665825
10, 0.1, 30, 200, 0.3879415984559111
10, 0.1, 50, 50, 0.3542585717816805
10, 0.1, 50, 100, 0.3651974194180977
10, 0.1, 50, 150, 0.3486914217215537
10, 0.1, 50, 200, 0.36032674913739077
10, 0.1, 80, 50, 0.32421343474797026
10, 0.1, 80, 100, 0.3278790647842981
10, 0.1, 80, 150, 0.33067101776309293
10, 0.1, 80, 200, 0.32364573756146825
10, 0.1, 100, 50, 0.3133092079830126
10, 0.1, 100, 100, 0.3020305312991255
10, 0.1, 100, 150, 0.30239560224956946
10, 0.1, 100, 200, 0.29886812838700133
10, 0.01, 5, 50, 0.3765708913692229
10, 0.01, 5, 100, 0.3690259290711183
10, 0.01, 5, 150, 0.36687696554418364
10, 0.01, 5, 200, 0.3589324372978908
10, 0.01, 10, 50, 0.40317328637593275
10, 0.01, 10, 100, 0.41128093849012254
10, 0.01, 10, 150, 0.3967764002883656
10, 0.01, 10, 200, 0.40723078348658287
10, 0.01, 20, 50, 0.403942635941028
10, 0.01, 20, 100, 0.3992551123530411
10, 0.01, 20, 150, 0.39686071961727976
10, 0.01, 20, 200, 0.397074202129626
10, 0.01, 30, 50, 0.39309132303915906
10, 0.01, 30, 100, 0.38134287172901404
10, 0.01, 30, 150, 0.3885061790822813
10, 0.01, 30, 200, 0.3781236224195615
10, 0.01, 50, 50, 0.35886599224733545
10, 0.01, 50, 100, 0.349167434892129
10, 0.01, 50, 150, 0.35987680427652435
10, 0.01, 50, 200, 0.3466857660780402
10, 0.01, 80, 50, 0.3275867645125543
10, 0.01, 80, 100, 0.33631071724493766
10, 0.01, 80, 150, 0.32183523278838044
10, 0.01, 80, 200, 0.3292194284275007
10, 0.01, 100, 50, 0.3079836224418701
10, 0.01, 100, 100, 0.3158048669268663
10, 0.01, 100, 150, 0.31129805347380046
10, 0.01, 100, 200, 0.3128834976444374
10, 0.001, 5, 50, 0.37662215621165257
10, 0.001, 5, 100, 0.3637309393945152
10, 0.001, 5, 150, 0.37531308080251985
10, 0.001, 5, 200, 0.36481416169902803
10, 0.001, 10, 50, 0.39867920844170174
10, 0.001, 10, 100, 0.3961043579431203
10, 0.001, 10, 150, 0.410714794427392
10, 0.001, 10, 200, 0.40973376459791994
10, 0.001, 20, 50, 0.40059074096485825
10, 0.001, 20, 100, 0.3979284154512322
10, 0.001, 20, 150, 0.3948875945768728
10, 0.001, 20, 200, 0.40233612539183045
10, 0.001, 30, 50, 0.38785346112345714
10, 0.001, 30, 100, 0.39194019016742376
10, 0.001, 30, 150, 0.3846703360151178
10, 0.001, 30, 200, 0.37952880761172597
10, 0.001, 50, 50, 0.3587348236403509
10, 0.001, 50, 100, 0.3530447053771236
10, 0.001, 50, 150, 0.35323961661646597
10, 0.001, 50, 200, 0.3560961359322592
10, 0.001, 80, 50, 0.32473449611506944
10, 0.001, 80, 100, 0.326856850232744
10, 0.001, 80, 150, 0.3225259105877475
10, 0.001, 80, 200, 0.3181022227178298
10, 0.001, 100, 50, 0.316633158086686
10, 0.001, 100, 100, 0.31153470366464103
10, 0.001, 100, 150, 0.305295342788657
10, 0.001, 100, 200, 0.3114991239830135
10, 0.0001, 5, 50, 0.36584197546917263
10, 0.0001, 5, 100, 0.3703982804790473
10, 0.0001, 5, 150, 0.3693143869679096
10, 0.0001, 5, 200, 0.36922376067514523
10, 0.0001, 10, 50, 0.408089418754594
10, 0.0001, 10, 100, 0.40050493057543873
10, 0.0001, 10, 150, 0.41547107628509433
10, 0.0001, 10, 200, 0.40473444055589514
10, 0.0001, 20, 50, 0.4006571637427038
10, 0.0001, 20, 100, 0.40001866942244235
10, 0.0001, 20, 150, 0.41001591280254995
10, 0.0001, 20, 200, 0.40175759492792273
10, 0.0001, 30, 50, 0.38353728676022747
10, 0.0001, 30, 100, 0.3901361288996928
10, 0.0001, 30, 150, 0.3865880258388985
10, 0.0001, 30, 200, 0.3838127562490318
10, 0.0001, 50, 50, 0.35620043825487513
10, 0.0001, 50, 100, 0.35248844887512
10, 0.0001, 50, 150, 0.35966666580379064
10, 0.0001, 50, 200, 0.3527105856204111
10, 0.0001, 80, 50, 0.3309540870220738
10, 0.0001, 80, 100, 0.3295577810260965
10, 0.0001, 80, 150, 0.32514205507628147
10, 0.0001, 80, 200, 0.32158722881521173
10, 0.0001, 100, 50, 0.30161083789073
10, 0.0001, 100, 100, 0.30438863458348303
10, 0.0001, 100, 150, 0.30107801779668486
10, 0.0001, 100, 200, 0.31102955514098557
10, 1e-05, 5, 50, 0.375669770947515
10, 1e-05, 5, 100, 0.35905207958250596
10, 1e-05, 5, 150, 0.3682850119794775
10, 1e-05, 5, 200, 0.3783595784083816
10, 1e-05, 10, 50, 0.4012531709362172
10, 1e-05, 10, 100, 0.4045952140137792
10, 1e-05, 10, 150, 0.4082716886566193
10, 1e-05, 10, 200, 0.41046487350873917
10, 1e-05, 20, 50, 0.40840052751204853
10, 1e-05, 20, 100, 0.39239552144363216
10, 1e-05, 20, 150, 0.40193055327853744
10, 1e-05, 20, 200, 0.40733718997370927
10, 1e-05, 30, 50, 0.3845934641168103
10, 1e-05, 30, 100, 0.38256920361018887
10, 1e-05, 30, 150, 0.38190607054830944
10, 1e-05, 30, 200, 0.38679700389204796
10, 1e-05, 50, 50, 0.3562227670737043
10, 1e-05, 50, 100, 0.3565734003501318
10, 1e-05, 50, 150, 0.355948495021062
10, 1e-05, 50, 200, 0.35714512199920023
10, 1e-05, 80, 50, 0.33763229277710055
10, 1e-05, 80, 100, 0.3246042875068175
10, 1e-05, 80, 150, 0.3250993532311916
10, 1e-05, 80, 200, 0.3235798717605565
10, 1e-05, 100, 50, 0.31431040132711285
10, 1e-05, 100, 100, 0.30836654305425165
10, 1e-05, 100, 150, 0.3151392885138753
10, 1e-05, 100, 200, 0.29965963362898757
10, 1e-06, 5, 50, 0.3672315551583005
10, 1e-06, 5, 100, 0.3712657116844238
10, 1e-06, 5, 150, 0.37087662203171295
10, 1e-06, 5, 200, 0.37118826029611973
10, 1e-06, 10, 50, 0.40035938216034556
10, 1e-06, 10, 100, 0.4017377751205106
10, 1e-06, 10, 150, 0.40538269329338067
10, 1e-06, 10, 200, 0.4000172155321322
10, 1e-06, 20, 50, 0.4054359641136848
10, 1e-06, 20, 100, 0.3985131881167565
10, 1e-06, 20, 150, 0.40065846890933626
10, 1e-06, 20, 200, 0.40006486419478804
10, 1e-06, 30, 50, 0.38798895920993315
10, 1e-06, 30, 100, 0.3817319188947035
10, 1e-06, 30, 150, 0.385070272998593
10, 1e-06, 30, 200, 0.3860195117167018
10, 1e-06, 50, 50, 0.3630644113204265
10, 1e-06, 50, 100, 0.36268611476617024
10, 1e-06, 50, 150, 0.3595041660730045
10, 1e-06, 50, 200, 0.357318260262246
10, 1e-06, 80, 50, 0.329824951262877
10, 1e-06, 80, 100, 0.33701095462091296
10, 1e-06, 80, 150, 0.32728496010940156
10, 1e-06, 80, 200, 0.31713514050018676
10, 1e-06, 100, 50, 0.30270882784279074
10, 1e-06, 100, 100, 0.30557165890744076
10, 1e-06, 100, 150, 0.3024577059795049
10, 1e-06, 100, 200, 0.30612523980528183
1, 100, 5, 50, 0.21621409738578212
1, 100, 5, 100, 0.20765907159325056
1, 100, 5, 150, 0.2148387610552422
1, 100, 5, 200, 0.21083187041058804
1, 100, 10, 50, 0.209689611971322
1, 100, 10, 100, 0.21365455998385674
1, 100, 10, 150, 0.20441176701367947
1, 100, 10, 200, 0.21564612943903944
1, 100, 20, 50, 0.21113325135873737
1, 100, 20, 100, 0.20470884843790282
1, 100, 20, 150, 0.2161978396217274
1, 100, 20, 200, 0.2086927075978881
1, 100, 30, 50, 0.21543647296559207
1, 100, 30, 100, 0.21338444475195334
1, 100, 30, 150, 0.2086915194605729
1, 100, 30, 200, 0.2129154852277511
1, 100, 50, 50, 0.20626718482690667
1, 100, 50, 100, 0.20764633437101485
1, 100, 50, 150, 0.2124335963194866
1, 100, 50, 200, 0.20370646516294305
1, 100, 80, 50, 0.20978460535920856
1, 100, 80, 100, 0.2191083317435977
1, 100, 80, 150, 0.20651566360372928
1, 100, 80, 200, 0.20869020613323866
1, 100, 100, 50, 0.21067891473869108
1, 100, 100, 100, 0.21058003572971568
1, 100, 100, 150, 0.21096932071018634
1, 100, 100, 200, 0.21143097988766363
1, 10, 5, 50, 0.3636233872465588
1, 10, 5, 100, 0.3743121748351068
1, 10, 5, 150, 0.36701565673829106
1, 10, 5, 200, 0.37083254522264364
1, 10, 10, 50, 0.41367962315514073
1, 10, 10, 100, 0.40001360367241034
1, 10, 10, 150, 0.412884045304332
1, 10, 10, 200, 0.4116549956828735
1, 10, 20, 50, 0.42765194891298147
1, 10, 20, 100, 0.4363396118626036
1, 10, 20, 150, 0.43487084498826756
1, 10, 20, 200, 0.4400573711357014
1, 10, 30, 50, 0.44041566810075244
1, 10, 30, 100, 0.4290483434644743
1, 10, 30, 150, 0.44628766325026686
1, 10, 30, 200, 0.44824873520285513
1, 10, 50, 50, 0.4395611782260201
1, 10, 50, 100, 0.44015180205674825
1, 10, 50, 150, 0.4393830745482162
1, 10, 50, 200, 0.43730962626931996
1, 10, 80, 50, 0.4461050228507959
1, 10, 80, 100, 0.4438091482733559
1, 10, 80, 150, 0.4392878395141542
1, 10, 80, 200, 0.4389049174276081
1, 10, 100, 50, 0.4525762826353722
1, 10, 100, 100, 0.43814092434465124
1, 10, 100, 150, 0.43548695927035913
1, 10, 100, 200, 0.4402962780273475
1, 1, 5, 50, 0.3622383499985777
1, 1, 5, 100, 0.3743460334701745
1, 1, 5, 150, 0.3669962274853567
1, 1, 5, 200, 0.3732365788606712
1, 1, 10, 50, 0.4130916596022114
1, 1, 10, 100, 0.40990041317069964
1, 1, 10, 150, 0.41376729944203167
1, 1, 10, 200, 0.40872659588502774
1, 1, 20, 50, 0.43664291342362993
1, 1, 20, 100, 0.4356307543704547
1, 1, 20, 150, 0.4361457607586701
1, 1, 20, 200, 0.43843525436521896
1, 1, 30, 50, 0.4330058490836083
1, 1, 30, 100, 0.42907685424855835
1, 1, 30, 150, 0.42236662304845407
1, 1, 30, 200, 0.4086215142457326
1, 1, 50, 50, 0.3871807547223371
1, 1, 50, 100, 0.38558338232789924
1, 1, 50, 150, 0.39052474761489975
1, 1, 50, 200, 0.3924745225280129
1, 1, 80, 50, 0.35549428853481024
1, 1, 80, 100, 0.3521069758152732
1, 1, 80, 150, 0.36203090751166633
1, 1, 80, 200, 0.3577658301863179
1, 1, 100, 50, 0.33329423925716184
1, 1, 100, 100, 0.3320391715835743
1, 1, 100, 150, 0.3343491445367643
1, 1, 100, 200, 0.34141733217823794
1, 0.1, 5, 50, 0.3720539288082605
1, 0.1, 5, 100, 0.36417416729950614
1, 0.1, 5, 150, 0.3746474810937491
1, 0.1, 5, 200, 0.3687420965048087
1, 0.1, 10, 50, 0.41882736482354543
1, 0.1, 10, 100, 0.4096143161638721
1, 0.1, 10, 150, 0.402071125284976
1, 0.1, 10, 200, 0.40584544175239734
1, 0.1, 20, 50, 0.43273187276266306
1, 0.1, 20, 100, 0.4358943606136114
1, 0.1, 20, 150, 0.42794754441825694
1, 0.1, 20, 200, 0.43467595370890033
1, 0.1, 30, 50, 0.4260487376726951
1, 0.1, 30, 100, 0.4101206960212584
1, 0.1, 30, 150, 0.4188784096669852
1, 0.1, 30, 200, 0.4231030676719411
1, 0.1, 50, 50, 0.3849623083776204
1, 0.1, 50, 100, 0.3928741299818746
1, 0.1, 50, 150, 0.3880508510077394
1, 0.1, 50, 200, 0.38982040303710086
1, 0.1, 80, 50, 0.3404477038235005
1, 0.1, 80, 100, 0.3532329593635247
1, 0.1, 80, 150, 0.35747671863485814
1, 0.1, 80, 200, 0.3425956959287879
1, 0.1, 100, 50, 0.32387697813539346
1, 0.1, 100, 100, 0.33334297208918595
1, 0.1, 100, 150, 0.3267865042717618
1, 0.1, 100, 200, 0.3187646904385063
1, 0.01, 5, 50, 0.3764393464235978
1, 0.01, 5, 100, 0.373078569203245
1, 0.01, 5, 150, 0.36994152404497815
1, 0.01, 5, 200, 0.37350080945526654
1, 0.01, 10, 50, 0.41347052925839084
1, 0.01, 10, 100, 0.40892779940826385
