alpha, beta, latent_features, steps, error_limit, fit_error_limit, learning_rate, NDCG
100000000.0, 10000000000.0, 5, 100, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 100, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 100, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 100, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 5, 200, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 200, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 200, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 200, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 5, 300, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 300, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 300, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 300, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 5, 400, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 400, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 400, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 400, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 5, 500, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 500, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 500, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 500, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 5, 600, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 600, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 600, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 600, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 5, 700, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 700, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 700, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 700, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 5, 800, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 800, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 800, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 800, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 5, 900, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 900, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 900, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 900, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 5, 1000, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 5, 1000, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 5, 1000, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 5, 1000, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 10, 100, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 100, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 100, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 100, 1e-06, 1e-05, 1e-10, nan
