alpha, beta, latent_features, steps, C, NDCG
100000000.0, 100000000.0, 10, 1, 1000, 0.5134408727379755
100000000.0, 100000000.0, 10, 1, 100, 0.4855724730836478
100000000.0, 100000000.0, 10, 1, 1, 0.49415837025078013
100000000.0, 100000000.0, 10, 1, 0.1, 0.48839979577788256
100000000.0, 100000000.0, 10, 1, 0.01, 0.5075507252966723
100000000.0, 100000000.0, 10, 1, 0.001, 0.49283069301100485
100000000.0, 100000000.0, 10, 1, 0.0001, 0.49846308058107497
100000000.0, 100000000.0, 10, 1, 1e-05, 0.4829708307875964
100000000.0, 100000000.0, 10, 1, 1e-06, 0.47123968535880195
100000000.0, 100000000.0, 10, 1, 0, 0.4890389697732465
100000000.0, 100000000.0, 10, 50, 1000, 0.482159068106572
100000000.0, 100000000.0, 10, 50, 100, 0.46803744518364526
100000000.0, 100000000.0, 10, 50, 1, 0.5249054101334785
100000000.0, 100000000.0, 10, 50, 0.1, 0.48951335882105107
100000000.0, 100000000.0, 10, 50, 0.01, 0.5126544077795158
100000000.0, 100000000.0, 10, 50, 0.001, 0.494111707361785
100000000.0, 100000000.0, 10, 50, 0.0001, 0.4833606762159464
100000000.0, 100000000.0, 10, 50, 1e-05, 0.46969663069508494
100000000.0, 100000000.0, 10, 50, 1e-06, 0.5110234232260703
100000000.0, 100000000.0, 10, 50, 0, 0.4703007522612756
100000000.0, 100000000.0, 10, 100, 1000, 0.47136529848798225
100000000.0, 100000000.0, 10, 100, 100, 0.4689494363817779
100000000.0, 100000000.0, 10, 100, 1, 0.501165152874575
100000000.0, 100000000.0, 10, 100, 0.1, 0.4688503785736537
100000000.0, 100000000.0, 10, 100, 0.01, 0.49820502118386245
100000000.0, 100000000.0, 10, 100, 0.001, 0.4647770375563709
100000000.0, 100000000.0, 10, 100, 0.0001, 0.4964177300395831
100000000.0, 100000000.0, 10, 100, 1e-05, 0.5030573029209132
100000000.0, 100000000.0, 10, 100, 1e-06, 0.4769343905381018
100000000.0, 100000000.0, 10, 100, 0, 0.5138250295170039
100000000.0, 100000000.0, 10, 150, 1000, 0.49096671875391223
100000000.0, 100000000.0, 10, 150, 100, 0.4839603857019192
100000000.0, 100000000.0, 10, 150, 1, 0.5068500274718898
100000000.0, 100000000.0, 10, 150, 0.1, 0.4803956292007902
100000000.0, 100000000.0, 10, 150, 0.01, 0.48393693331891785
100000000.0, 100000000.0, 10, 150, 0.001, 0.4937451809747672
100000000.0, 100000000.0, 10, 150, 0.0001, 0.5118725419616111
100000000.0, 100000000.0, 10, 150, 1e-05, 0.5092067148251816
100000000.0, 100000000.0, 10, 150, 1e-06, 0.5138887781882697
100000000.0, 100000000.0, 10, 150, 0, 0.5016289019930587
100000000.0, 100000000.0, 10, 200, 1000, 0.48786177946566556
100000000.0, 100000000.0, 10, 200, 100, 0.484183849215359
100000000.0, 100000000.0, 10, 200, 1, 0.49747123105733215
100000000.0, 100000000.0, 10, 200, 0.1, 0.5078614706641387
100000000.0, 100000000.0, 10, 200, 0.01, 0.5006030136225674
100000000.0, 100000000.0, 10, 200, 0.001, 0.4976460985158171
100000000.0, 100000000.0, 10, 200, 0.0001, 0.4998398304617786
