alpha, regularization, latent_features, learning_rate, NDCG
1000000000.0, 1e-07, 300, 1, 1e-11, nan
1000000000.0, 1e-07, 500, 1, 1e-08, nan
1000000000.0, 1e-07, 500, 1, 1e-09, nan
1000000000.0, 1e-07, 500, 1, 1e-10, nan
1000000000.0, 1e-07, 500, 1, 1e-11, nan
1000000000.0, 1e-08, 50, 1, 1e-08, nan
1000000000.0, 1e-08, 50, 1, 1e-09, nan
1000000000.0, 1e-08, 50, 1, 1e-10, nan
1000000000.0, 1e-08, 50, 1, 1e-11, nan
1000000000.0, 1e-08, 75, 1, 1e-08, nan
1000000000.0, 1e-08, 75, 1, 1e-09, nan
1000000000.0, 1e-08, 75, 1, 1e-10, nan
1000000000.0, 1e-08, 75, 1, 1e-11, nan
1000000000.0, 1e-08, 100, 1, 1e-08, nan
1000000000.0, 1e-08, 100, 1, 1e-09, nan
1000000000.0, 1e-08, 100, 1, 1e-10, nan
1000000000.0, 1e-08, 100, 1, 1e-11, nan
1000000000.0, 1e-08, 200, 1, 1e-08, nan
1000000000.0, 1e-08, 200, 1, 1e-09, nan
1000000000.0, 1e-08, 200, 1, 1e-10, nan
1000000000.0, 1e-08, 200, 1, 1e-11, nan
1000000000.0, 1e-08, 300, 1, 1e-08, nan
1000000000.0, 1e-08, 300, 1, 1e-09, nan
1000000000.0, 1e-08, 300, 1, 1e-10, nan
1000000000.0, 1e-08, 300, 1, 1e-11, nan
1000000000.0, 1e-08, 500, 1, 1e-08, nan
1000000000.0, 1e-08, 500, 1, 1e-09, nan
1000000000.0, 1e-08, 500, 1, 1e-10, nan
1000000000.0, 1e-08, 500, 1, 1e-11, nan
1000000000.0, 1e-09, 50, 1, 1e-08, nan
1000000000.0, 1e-09, 50, 1, 1e-09, nan
1000000000.0, 1e-09, 50, 1, 1e-10, nan
1000000000.0, 1e-09, 50, 1, 1e-11, nan
1000000000.0, 1e-09, 75, 1, 1e-08, nan
1000000000.0, 1e-09, 75, 1, 1e-09, nan
1000000000.0, 1e-09, 75, 1, 1e-10, nan
1000000000.0, 1e-09, 75, 1, 1e-11, nan
1000000000.0, 1e-09, 100, 1, 1e-08, nan
1000000000.0, 1e-09, 100, 1, 1e-09, nan
1000000000.0, 1e-09, 100, 1, 1e-10, nan
1000000000.0, 1e-09, 100, 1, 1e-11, nan
1000000000.0, 1e-09, 200, 1, 1e-08, nan
1000000000.0, 1e-09, 200, 1, 1e-09, nan
1000000000.0, 1e-09, 200, 1, 1e-10, nan
1000000000.0, 1e-09, 200, 1, 1e-11, nan
1000000000.0, 1e-09, 300, 1, 1e-08, nan
1000000000.0, 1e-09, 300, 1, 1e-09, nan
1000000000.0, 1e-09, 300, 1, 1e-10, nan
1000000000.0, 1e-09, 300, 1, 1e-11, nan
1000000000.0, 1e-09, 500, 1, 1e-08, nan
1000000000.0, 1e-09, 500, 1, 1e-09, nan
1000000000.0, 1e-09, 500, 1, 1e-10, nan
1000000000.0, 1e-09, 500, 1, 1e-11, nan
1000000000.0, 1e-10, 50, 1, 1e-08, nan
1000000000.0, 1e-10, 50, 1, 1e-09, nan
1000000000.0, 1e-10, 50, 1, 1e-10, nan
1000000000.0, 1e-10, 50, 1, 1e-11, nan
1000000000.0, 1e-10, 75, 1, 1e-08, nan
1000000000.0, 1e-10, 75, 1, 1e-09, nan
1000000000.0, 1e-10, 75, 1, 1e-10, nan
1000000000.0, 1e-10, 75, 1, 1e-11, nan
1000000000.0, 1e-10, 100, 1, 1e-08, nan
1000000000.0, 1e-10, 100, 1, 1e-09, nan
1000000000.0, 1e-10, 100, 1, 1e-10, nan
1000000000.0, 1e-10, 100, 1, 1e-11, nan
1000000000.0, 1e-10, 200, 1, 1e-08, nan
1000000000.0, 1e-10, 200, 1, 1e-09, nan
1000000000.0, 1e-10, 200, 1, 1e-10, nan
1000000000.0, 1e-10, 200, 1, 1e-11, nan
1000000000.0, 1e-10, 300, 1, 1e-08, nan
1000000000.0, 1e-10, 300, 1, 1e-09, nan
1000000000.0, 1e-10, 300, 1, 1e-10, nan
1000000000.0, 1e-10, 300, 1, 1e-11, nan
1000000000.0, 1e-10, 500, 1, 1e-08, nan
1000000000.0, 1e-10, 500, 1, 1e-09, nan
1000000000.0, 1e-10, 500, 1, 1e-10, nan
1000000000.0, 1e-10, 500, 1, 1e-11, nan
100000000.0, 0.001, 50, 1, 1e-08, nan
100000000.0, 0.001, 50, 1, 1e-09, nan
100000000.0, 0.001, 50, 1, 1e-10, nan
100000000.0, 0.001, 50, 1, 1e-11, 0.16987599231530134
100000000.0, 0.001, 75, 1, 1e-08, nan
100000000.0, 0.001, 75, 1, 1e-09, nan
100000000.0, 0.001, 75, 1, 1e-10, nan
100000000.0, 0.001, 75, 1, 1e-11, 0.20503678007047604
100000000.0, 0.001, 100, 1, 1e-08, nan
100000000.0, 0.001, 100, 1, 1e-09, nan
100000000.0, 0.001, 100, 1, 1e-10, nan
100000000.0, 0.001, 100, 1, 1e-11, 0.1809155244911258
100000000.0, 0.001, 200, 1, 1e-08, nan
100000000.0, 0.001, 200, 1, 1e-09, nan
100000000.0, 0.001, 200, 1, 1e-10, nan
100000000.0, 0.001, 200, 1, 1e-11, 0.1752163021918538
100000000.0, 0.001, 300, 1, 1e-08, nan
100000000.0, 0.001, 300, 1, 1e-09, nan
100000000.0, 0.001, 300, 1, 1e-10, nan
100000000.0, 0.001, 300, 1, 1e-11, 0.2725023494737193
100000000.0, 0.001, 500, 1, 1e-08, nan
100000000.0, 0.001, 500, 1, 1e-09, nan
100000000.0, 0.001, 500, 1, 1e-10, nan
100000000.0, 0.001, 500, 1, 1e-11, 0.2091269970540718
100000000.0, 0.0001, 50, 1, 1e-08, nan
100000000.0, 0.0001, 50, 1, 1e-09, nan
100000000.0, 0.0001, 50, 1, 1e-10, nan
100000000.0, 0.0001, 50, 1, 1e-11, 0.21248655420271578
100000000.0, 0.0001, 75, 1, 1e-08, nan
100000000.0, 0.0001, 75, 1, 1e-09, nan
100000000.0, 0.0001, 75, 1, 1e-10, nan
100000000.0, 0.0001, 75, 1, 1e-11, 0.22762544038206353
100000000.0, 0.0001, 100, 1, 1e-08, nan
100000000.0, 0.0001, 100, 1, 1e-09, nan
100000000.0, 0.0001, 100, 1, 1e-10, nan
100000000.0, 0.0001, 100, 1, 1e-11, 0.19389142729928271
100000000.0, 0.0001, 200, 1, 1e-08, nan
100000000.0, 0.0001, 200, 1, 1e-09, nan
100000000.0, 0.0001, 200, 1, 1e-10, nan
100000000.0, 0.0001, 200, 1, 1e-11, 0.13282490492425747
100000000.0, 0.0001, 300, 1, 1e-08, nan
100000000.0, 0.0001, 300, 1, 1e-09, nan
100000000.0, 0.0001, 300, 1, 1e-10, nan
100000000.0, 0.0001, 300, 1, 1e-11, 0.1459858251119276
100000000.0, 0.0001, 500, 1, 1e-08, nan
100000000.0, 0.0001, 500, 1, 1e-09, nan
100000000.0, 0.0001, 500, 1, 1e-10, nan
100000000.0, 0.0001, 500, 1, 1e-11, 0.19984676365587484
100000000.0, 1e-05, 50, 1, 1e-08, nan
100000000.0, 1e-05, 50, 1, 1e-09, nan
100000000.0, 1e-05, 50, 1, 1e-10, nan
100000000.0, 1e-05, 50, 1, 1e-11, 0.1663876307711811
100000000.0, 1e-05, 75, 1, 1e-08, nan
100000000.0, 1e-05, 75, 1, 1e-09, nan
100000000.0, 1e-05, 75, 1, 1e-10, nan
100000000.0, 1e-05, 75, 1, 1e-11, 0.12736143039012837
