alpha, beta, c, latent_features, steps, NDCG
100, 100, 100, 3, 50, 0.09563567021167976
100, 100, 100, 3, 100, 0.08854989967748697
100, 100, 100, 3, 150, 0.11431218770334381
100, 100, 100, 10, 50, 0.3488785114015265
100, 100, 100, 10, 100, 0.3221583104068743
100, 100, 100, 10, 150, 0.31906552961174145
100, 100, 100, 30, 50, 0.3452297214459874
100, 100, 100, 30, 100, 0.31208403958054737
100, 100, 100, 30, 150, 0.30801989866313395
100, 100, 100, 50, 50, 0.2978356923287524
100, 100, 100, 50, 100, 0.29543817337491124
100, 100, 100, 50, 150, 0.2972991406530425
100, 100, 10, 3, 50, 0.09651276169405792
100, 100, 10, 3, 100, 0.10151808966757557
100, 100, 10, 3, 150, 0.10048671781967998
100, 100, 10, 10, 50, 0.4328570618829681
100, 100, 10, 10, 100, 0.41865046201227085
100, 100, 10, 10, 150, 0.4219634432121523
100, 100, 10, 30, 50, 0.31427207380437455
100, 100, 10, 30, 100, 0.3825597696709914
100, 100, 10, 30, 150, 0.36457115811392987
100, 100, 10, 50, 50, 0.36452260360018235
100, 100, 10, 50, 100, 0.37344578663055034
100, 100, 10, 50, 150, 0.3521692666974052
100, 100, 1, 3, 50, 0.08688163094059424
100, 100, 1, 3, 100, 0.08250031067062123
100, 100, 1, 3, 150, 0.07324796882038648
100, 100, 1, 10, 50, 0.3782626401593937
100, 100, 1, 10, 100, 0.38162381556759406
100, 100, 1, 10, 150, 0.3797205250539271
100, 100, 1, 30, 50, 0.3556254085607277
100, 100, 1, 30, 100, 0.3567049787061837
100, 100, 1, 30, 150, 0.3315885188799237
100, 100, 1, 50, 50, 0.37451906169817606
100, 100, 1, 50, 100, 0.39259161196063574
100, 100, 1, 50, 150, 0.3852844795810426
100, 100, 0.1, 3, 50, 0.03787445599206069
100, 100, 0.1, 3, 100, 0.03602134011941451
100, 100, 0.1, 3, 150, 0.03215814627446867
100, 100, 0.1, 10, 50, 0.44963295731089487
100, 100, 0.1, 10, 100, 0.4085046945214039
100, 100, 0.1, 10, 150, 0.42120822693367665
100, 100, 0.1, 30, 50, 0.36518385288637556
100, 100, 0.1, 30, 100, 0.37139079542716835
