N, user, item, mf, feature_mf, torch_mf,
1,  0.5533,  0.5409,  0.553,  0.5519,  0.5336,
2,  0.5275581300289165,  0.5176083709257935,  0.5196156046074525,  0.5175373787587925,  0.5145242624515759,
3,  0.5392157443178034,  0.5357685987977792,  0.5390984206122676,  0.5380797068268938,  0.5325902941286763,
4,  0.5432031809481412,  0.5425847622834259,  0.5504263084104581,  0.5488152311549882,  0.5404267650548314,
5,  0.540784928486229,  0.5413744825450598,  0.5531248023415749,  0.552553851889942,  0.543384044389412,
6,  0.5355098277735935,  0.5372622454591072,  0.5524451856258514,  0.5526972379187309,  0.5441743599245294,
7,  0.5278496378208267,  0.5318007629299615,  0.5502998684718251,  0.5505564020901732,  0.5423445174803798,
8,  0.52215316882129,  0.5255014574501906,  0.5470996450612197,  0.546886274502751,  0.5385668286111891,
9,  0.5173152430021042,  0.5197157542739551,  0.5419068155461655,  0.5419435101532079,  0.5351236700311838,
10,  0.511954203442477,  0.5127443938711349,  0.5365540740268039,  0.5372537567033335,  0.530167211042021,
11,  0.5061848833039009,  0.5057926839199666,  0.5310295331158797,  0.5314797651453682,  0.5249896909027556,
12,  0.4999740367234688,  0.4978555320751001,  0.5255096313724246,  0.5259046406976042,  0.5200074780425384,
13,  0.4946009704014995,  0.4903658358252631,  0.5199335319986198,  0.5201093702983283,  0.5150833739902061,
14,  0.4882373426940716,  0.4831781322198572,  0.5146346416108126,  0.5148319115048413,  0.5095314755751329,
15,  0.4823252280461928,  0.4765826633239465,  0.5095769442372912,  0.5094711075527707,  0.5043362772089653,
16,  0.47604602951790775,  0.46976786357409117,  0.5044379022969442,  0.504399711095104,  0.4993785692509727,
17,  0.47029159425096134,  0.4635283113149232,  0.49956249502104966,  0.4997531143883092,  0.49451948421737907,
18,  0.46476267615721445,  0.4577823948332246,  0.4949084614573726,  0.49493243132959885,  0.4901237079821787,
19,  0.4599054540678391,  0.45233093380303335,  0.4904107008915113,  0.4906526187904264,  0.4859034039975803,
20,  0.45561005345453504,  0.4469216875630952,  0.48608856071761386,  0.48635106588130056,  0.48132733244340886,
21,  0.4518150475466822,  0.44196653219080834,  0.4819306510754095,  0.482235477159736,  0.4769464331129318,
22,  0.4483316983436943,  0.43739397333296004,  0.4778880134516463,  0.4781497579475228,  0.47278542266408585,
23,  0.44478518191928434,  0.43297556258153025,  0.4742129381014116,  0.4742010268971449,  0.46856602320625906,
24,  0.44132503173899096,  0.42871224717902084,  0.4704607065374679,  0.47070682396105196,  0.46451788956712364,
25,  0.4378834614604684,  0.4246118977180248,  0.4670480954433949,  0.46711599657552927,  0.4605939476555133,
26,  0.4346539458216164,  0.42064416113703584,  0.4637786267737427,  0.46380795408536224,  0.4568280917737779,
27,  0.431603144932691,  0.41664513906181283,  0.4606228187657476,  0.460686553783361,  0.45320481499526893,
28,  0.4286071336287426,  0.41283446747874286,  0.45759745460890416,  0.45760551613089073,  0.44975406350988945,
29,  0.4257526691801037,  0.4091257078820549,  0.4547132187929836,  0.45469848138751257,  0.4463937804481163,
30,  0.42319730316840787,  0.4055769404358484,  0.451963137418514,  0.45193395245958473,  0.4431400814089692,
31,  0.42074759107329107,  0.40218948306348146,  0.4493437195848258,  0.44936365693458336,  0.43994356290961006,
32,  0.41850540803166614,  0.3988995226700204,  0.44685833922011436,  0.4467987868534472,  0.43687661067850514,
33,  0.4162993296396804,  0.3957391330137121,  0.44457102121675873,  0.4445077892589543,  0.43397920695435976,
34,  0.4140755988897435,  0.3925872562937116,  0.4422946117813418,  0.44230936121838493,  0.43118324805392155,
35,  0.41203854236224163,  0.3895690829706316,  0.440204500869999,  0.44017674473162804,  0.42844413978750506,
36,  0.4100994645066684,  0.38666907493275104,  0.43827243444479574,  0.43821411657274584,  0.4258683271110238,
37,  0.40828957580108965,  0.383892025794381,  0.43639939250201243,  0.4363528248381741,  0.4233654214983788,
38,  0.406489088597223,  0.3811472973365319,  0.4346707721395109,  0.4345966384034016,  0.42095991500830887,
39,  0.4047458620899714,  0.37865013821117777,  0.43305239434764464,  0.43295542277508586,  0.4186444628928796,
40,  0.4030986745702262,  0.3761555037109915,  0.4315138324703298,  0.4314430081503183,  0.4164071185321105,
41,  0.4015614325166582,  0.37379012181297,  0.4300602789143025,  0.43000027436206184,  0.4141792507143351,
42,  0.4001057661414573,  0.37141910633870395,  0.4286789561942265,  0.42866451229492314,  0.41202026460574226,
43,  0.3986980571348645,  0.3693021059162128,  0.4274281376585134,  0.42741047663069964,  0.40995174234938775,
44,  0.3973835412702831,  0.367247026402423,  0.4262402818795357,  0.42620514452508207,  0.4079042737081997,
45,  0.396136666916745,  0.36513063383921623,  0.4251147606664369,  0.42507580450514904,  0.4059585440079139,
46,  0.39496386357842,  0.36309651498127116,  0.424095592502219,  0.4240166714275394,  0.4040971176493405,
47,  0.39378605186661764,  0.36113598860102797,  0.42313389545931557,  0.423053420542992,  0.4023395419148806,
48,  0.3927581738356184,  0.3592464479221481,  0.42222615935178603,  0.4221216090370333,  0.40061021620089315,
49,  0.39178995833325914,  0.3573890405181947,  0.42137763087729246,  0.4212858146321077,  0.39894456081636065,
50,  0.39089515729231095,  0.35564920089466234,  0.4205842951218761,  0.4204905256026406,  0.3973227935927211,
51,  0.39006462227764827,  0.3539586775062023,  0.4198464606367415,  0.4197768783026204,  0.39576408334297286,
52,  0.3892712648564134,  0.3523915608219745,  0.4191630563746843,  0.41909930528850053,  0.39427465287959856,
53,  0.38856414728858996,  0.3508490533123804,  0.41855062148840577,  0.41847357175266153,  0.392818905591664,
54,  0.387888887342457,  0.3493563606727227,  0.41798496362016446,  0.4179014911161683,  0.39143135945539786,
55,  0.3872680460956878,  0.34795807999912487,  0.417461843363414,  0.4173802231132494,  0.39009371415140237,
56,  0.38666110949825844,  0.3465970082766914,  0.4169970378994815,  0.4169163528396448,  0.3888157142860599,
57,  0.3860725598969444,  0.3452940576852554,  0.4165982593625462,  0.4165121085791415,  0.3875890323445313,
58,  0.38552625087991105,  0.34401602342218746,  0.4162408256973877,  0.41616436455527056,  0.38642999629453945,
59,  0.38504123527838835,  0.342804112412855,  0.4159345416510523,  0.41586743751379374,  0.3853061415021237,
60,  0.38459833264264126,  0.3416691578606845,  0.4156969974296705,  0.41562721294703353,  0.38423304897613625,
61,  0.3841935080391437,  0.3405619296823589,  0.415515657119321,  0.4154548603283747,  0.38320924707099335,
62,  0.3838178407476717,  0.33953355384773237,  0.4154014437385226,  0.41532924765310864,  0.3822179839797226,
63,  0.3834731755729133,  0.3385672222859883,  0.41534206730674517,  0.4152666933141706,  0.3813167437149832,
64,  0.3831661278619715,  0.3377013623069098,  0.4153314111856854,  0.4152532531690605,  0.3804861501056131,
65,  0.38290450435533097,  0.3369206820993331,  0.4153709259722291,  0.41529215060134683,  0.37973546716336287,
66,  0.382683812703966,  0.3362118826531622,  0.4154746245291464,  0.4153918122160345,  0.37904977964038583,
67,  0.3825000146916991,  0.33560456807886824,  0.41560263023144745,  0.4155176067300862,  0.37844104096197007,
68,  0.3823458355505521,  0.335093379209308,  0.41578728944721816,  0.41569863833240733,  0.3779326266025141,
69,  0.3822323100183601,  0.33469356915848214,  0.4159887822355966,  0.41589527296876005,  0.37752569404880043,
70,  0.3821446215051927,  0.33438799479604275,  0.4161881489938587,  0.4160911358881332,  0.37719885758853366,
71,  0.382088951272245,  0.3341918655675818,  0.4163690069161831,  0.4162699308565961,  0.37697121688125107,
72,  0.38205382622640566,  0.33407688011886133,  0.41651032859416026,  0.41640892754561626,  0.3768206926714499,
73,  0.3820413511544581,  0.3340374427564713,  0.41654353134954436,  0.4164411409837541,  0.37676868999321644,
74,  0.38203734027908565,  0.3340271856985092,  0.4165584699297966,  0.4164554582069928,  0.3767525361993189,
75,  0.38203524033533,  0.33402227113029637,  0.41656176559746894,  0.41645862630031105,  0.3767458789299794,
76,  0.3820337822511127,  0.33401889001439733,  0.41656161301151295,  0.4164584904176557,  0.376741818885755,
77,  0.3820325291183557,  0.3340158924994294,  0.4165616492225824,  0.41645858586212314,  0.3767380053438454,
78,  0.382031385003971,  0.33401325959288003,  0.41656188263532923,  0.4164588887015209,  0.37673438618452987,
79,  0.3820303560106551,  0.3340110653855163,  0.41656241505812724,  0.4164594361465472,  0.37673096896131303,
80,  0.38202942963166564,  0.3340093230409285,  0.4165632227694973,  0.4164602991037541,  0.37672775038184564,
81,  0.38202860802081245,  0.3340078551641559,  0.41656439598743916,  0.4164615764801856,  0.3767247083635646,
82,  0.382027887655405,  0.3340066190845669,  0.41656599239566694,  0.41646330576170604,  0.3767218829997967,
83,  0.3820272834481718,  0.3340055415288787,  0.416568219249899,  0.4164655666524624,  0.37671923556643294,
84,  0.38202679995912864,  0.33400469297362667,  0.41657093711194204,  0.4164684650894271,  0.37671693861159206,
85,  0.3820265018347174,  0.33400419041225965,  0.41657308937273146,  0.4164706093890122,  0.37671547914084474,
86,  0.3820263662924474,  0.3340039805649064,  0.4165743184414999,  0.4164718795568472,  0.3767148039335089,
87,  0.3820263342140835,  0.33400393782913823,  0.41657456349504146,  0.41647217099291595,  0.37671469152294806,
88,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
89,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
90,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
91,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
92,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
93,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
94,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
95,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
96,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
97,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
98,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
99,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
100,  0.3820263232913965,  0.33400392791927613,  0.4165748383616005,  0.41647243022272507,  0.3767146312063508,
