N, user, item, mf, feature_mf, torch_mf, 
1,  0.392,  0.394,  0.428,  0.443,  0.179,
2,  0.36628350295808876,  0.35790922683787574,  0.4026200856533423,  0.40790110805077384,  0.17427367395602633,
3,  0.3837974677468028,  0.36843756675178646,  0.4146382749937811,  0.41514077529800336,  0.18039184614049047,
4,  0.398728647502545,  0.3757998084360043,  0.41984709796491637,  0.42223984698563155,  0.18931912138707485,
5,  0.40742223531533767,  0.3829957904028657,  0.426821900738989,  0.4293566939618217,  0.19598272304314984,
6,  0.40756029420270234,  0.38692547634028684,  0.43201856305543135,  0.4331991918038828,  0.20524051819096642,
7,  0.4072015978062771,  0.3878930112573927,  0.43527661058511435,  0.434646569873432,  0.20886685374423997,
8,  0.40899647410360507,  0.3877015901163079,  0.43491706125224144,  0.43394718107942115,  0.21251137048059307,
9,  0.40523397497443364,  0.3863830637161011,  0.43231018478874444,  0.431591246180256,  0.21233671768002782,
10,  0.4009623170901819,  0.3836992681365446,  0.4290426466821968,  0.42950154545211605,  0.21222927472527794,
11,  0.39861781382071676,  0.3824193722219389,  0.4263950207214196,  0.42638921978598326,  0.21073121204622114,
12,  0.39668034345262565,  0.3794710055990439,  0.42336868640863173,  0.42304994435988125,  0.21036881775315666,
13,  0.39417603980703464,  0.37665645398544867,  0.4224085574740882,  0.4220802436350659,  0.20906623301826702,
14,  0.39080349480508875,  0.3718598952222755,  0.420482350435426,  0.4203728459885518,  0.20775217132759718,
15,  0.3874145116291552,  0.3694023363375406,  0.4178965306475888,  0.41885750201806765,  0.20651355887501344,
16,  0.38414268071639984,  0.367300239147918,  0.41541797194633,  0.4154924000763677,  0.20524509075597225,
17,  0.3810166206889122,  0.36352399902749716,  0.4127440939315209,  0.4131645182699627,  0.20496545231235974,
18,  0.3782724303395441,  0.36053621626336124,  0.4098311950696443,  0.4107816090053016,  0.20454729872653926,
19,  0.3751383675663918,  0.3589721688876157,  0.40732923519967573,  0.4094023314498649,  0.2044043867561693,
20,  0.37323356478710273,  0.3570714751549983,  0.40366209624689336,  0.40697315811827117,  0.20465233162816013,
21,  0.37041005502957886,  0.3547501645625619,  0.40081279610681003,  0.4046196155607637,  0.20442184514522907,
22,  0.3688785451861638,  0.3518550055354445,  0.39848929501374625,  0.40135886018891737,  0.20349981383773091,
23,  0.3663971342929689,  0.3496888394879353,  0.3957790798734624,  0.3983385049189219,  0.20243930733625037,
24,  0.3633553093319326,  0.34823818963694964,  0.39296847603489765,  0.3956184540637455,  0.20214413639278853,
25,  0.361316877436967,  0.3463670533567871,  0.3906046097542462,  0.39257296733871655,  0.20096575684497037,
26,  0.35869844567572096,  0.34416652466026565,  0.38791893809953104,  0.3903950595921807,  0.20098696461766694,
27,  0.3569513230438033,  0.34209108759842854,  0.38598269664532536,  0.3875067601819156,  0.20102559083766533,
28,  0.3544489221860008,  0.3402900843722739,  0.38353121300344034,  0.3844533364245725,  0.2007112967508421,
29,  0.353264354899589,  0.3381134643991141,  0.38103388092974977,  0.3824172530206191,  0.20035215283677,
30,  0.3510986879746382,  0.3361743102923236,  0.3791667668481478,  0.3804274529244316,  0.19938697613973558,
31,  0.34894347148553184,  0.33495893051609865,  0.3766169658179271,  0.37803737728262815,  0.1991049785452557,
32,  0.34800015173575194,  0.33306184718282456,  0.3746067637085738,  0.3762948287008067,  0.1991468252422557,
33,  0.3460969243327442,  0.3311592297693312,  0.3728098722475367,  0.3740188430762859,  0.19857143055923132,
34,  0.3443851203465749,  0.3292608119222688,  0.3706821979876472,  0.3719982934669212,  0.1984047918022148,
35,  0.3424103930648331,  0.3274267367847129,  0.36846577624215865,  0.3698238654531589,  0.19798805941270536,
36,  0.34067236439720094,  0.32550996728572085,  0.3668116097317146,  0.3680269529812334,  0.1971893634475108,
37,  0.33910182756701257,  0.3244116667158076,  0.3650687216912374,  0.3665827589655896,  0.19661421046245547,
38,  0.33742629699288035,  0.32299738065773864,  0.3630029458300805,  0.364863623620902,  0.1958275482052077,
39,  0.33567308626634323,  0.321753586768897,  0.3612176226023404,  0.3631078535058637,  0.19498292878481832,
40,  0.33435232046877394,  0.3202733055352811,  0.359312767863815,  0.36093347993784536,  0.19433509577127614,
41,  0.3323483790974753,  0.3187414550444271,  0.3576433102515108,  0.3592611435066028,  0.19377003898228254,
42,  0.3307991213032931,  0.3172246340987107,  0.35585450902272214,  0.35736447405364635,  0.19324792183535638,
43,  0.32930987364634673,  0.3159014851780162,  0.35440882098637494,  0.35560532096096953,  0.19274219938643794,
44,  0.3279323756825975,  0.3144271935612354,  0.3527824571921668,  0.3537455738121617,  0.19188433764297597,
45,  0.32658464947312743,  0.3132006884463364,  0.35149676764395593,  0.3525459558889619,  0.191143451873814,
46,  0.32494983900685853,  0.31196495930230866,  0.3499230598392722,  0.35083097554358667,  0.19030170222253298,
47,  0.3233285629029259,  0.3106967815163233,  0.34839364904860076,  0.3494437648065685,  0.18950517617349588,
48,  0.3216646948474381,  0.30957028779373247,  0.3467254022290059,  0.34774769738977623,  0.18889581119864163,
49,  0.3203812667886477,  0.3081889511164705,  0.3450958672359027,  0.34620375221740346,  0.1882635293643647,
50,  0.31915138103522966,  0.3068884888500037,  0.3436377253953231,  0.3448413758700915,  0.18751350319067686,
51,  0.3180378885673244,  0.3057174535611985,  0.34233540536454204,  0.3431642808291764,  0.18679996413510083,
52,  0.31671007219123243,  0.3046143069162327,  0.3408418486601634,  0.3415844056426618,  0.18628075735815422,
53,  0.3155477980520859,  0.3034469148554847,  0.3394926315761903,  0.3402058876807806,  0.18595264067663203,
54,  0.3142948182110279,  0.3024854332951541,  0.3381982864087265,  0.33862031703833484,  0.18518617513621158,
55,  0.3129614559517221,  0.3016637342945669,  0.33695222547502185,  0.3374597857728432,  0.18450539120661208,
56,  0.311705077335226,  0.3006087813034084,  0.33538056369420316,  0.3359874125753416,  0.1839031086710984,
57,  0.3102173947171202,  0.29941240466140806,  0.334030874796883,  0.33468964982379973,  0.18332378179537626,
58,  0.30896724113431595,  0.29832138096305005,  0.332679766338607,  0.3332670008317805,  0.18290511188066708,
59,  0.30794065131583315,  0.29711074396192033,  0.3314814913984326,  0.3319245984201014,  0.18249567883698747,
60,  0.3069250556850308,  0.2960700722557368,  0.33017094996338725,  0.33066454180240745,  0.18184646939373705,
61,  0.30601566122085444,  0.29520939394756057,  0.3288496343566846,  0.3296055922821158,  0.1813716094384294,
62,  0.3047293223800093,  0.29412626335794895,  0.3276530009609225,  0.32844802961176317,  0.1809055922446465,
63,  0.3037643640575763,  0.2932580184450696,  0.3265055093554081,  0.3272570069093516,  0.18031421802998973,
64,  0.30293322261949196,  0.29235703186911866,  0.3254109504862408,  0.325908861272159,  0.17974951840608627,
65,  0.3021843314661575,  0.2914503363461559,  0.32425690018944975,  0.3248349495168072,  0.17955552091344987,
66,  0.301344608266944,  0.29062330798574226,  0.3231076225771152,  0.3237876636636011,  0.179034501920412,
67,  0.3003267156037587,  0.28969488115531195,  0.32203477213067,  0.3225921368182488,  0.1786896426175768,
68,  0.299322422622342,  0.2887330952546977,  0.3209046493517129,  0.3215601009209025,  0.1784047603855336,
69,  0.2982610390394321,  0.2877700176448367,  0.31990675686316083,  0.3204382321631197,  0.17798530009627497,
70,  0.29718677368615704,  0.2869862063201848,  0.3188471959749951,  0.31928989079901704,  0.17768436506003082,
71,  0.29625171824001245,  0.2861225854262891,  0.31785378305421563,  0.3182944952742012,  0.17735971942083475,
72,  0.29534532026189064,  0.2852960890981301,  0.3166733725156449,  0.3171829438770405,  0.17712259156013418,
