n,ndcg,ndcg_feat
1,0.569,0.08416984126984149
2,0.5325522942452833,0.15520238095238084
3,0.5400899997718764,0.21427738095238022
4,0.5486698599478128,0.26959960317460246
5,0.5444279226881319,0.3133130952380951
6,0.5414906308466432,0.35348730158730113
7,0.5369467570857851,0.3893916666666665
8,0.534224930916355,0.42509007936507953
9,0.52848112071395,0.453823412698413
10,0.5224541575811463,0.4788376984126986
11,0.5174245427340453,0.5034126984126988
12,0.5129834827684128,0.5262095238095243
13,0.509140556456763,0.5483321428571428
14,0.5052084371616133,0.5692214285714288
15,0.5015344642367324,0.5882765873015872
16,0.4982879106920482,0.607777380952381
17,0.49497083667841113,0.6259015873015875
18,0.4922566637328306,0.6433920634920633
19,0.48925371452027916,0.658452380952381
20,0.48666315267942434,0.6738123015873023
21,0.48382528098431077,0.6859158730158734
22,0.48123973552762406,0.6986436507936514
23,0.47906629382620874,0.7134515873015876
24,0.4767886387060238,0.7254035714285716
25,0.4745750292778316,0.7358884920634923
26,0.4724558512779983,0.744688492063492
27,0.4707721622255589,0.7559253968253964
28,0.4691085070779242,0.7655607142857137
29,0.46750953763254444,0.7749900793650787
30,0.46633179325472407,0.7863134920634913
31,0.4647943777603286,0.7933777777777772
32,0.4635234991794485,0.801411904761904
33,0.46222898018096276,0.8087178571428567
34,0.4610660364525131,0.8161698412698407
35,0.45990783173519423,0.8225884920634916
36,0.45878733180102504,0.8283428571428569
37,0.45784694277149496,0.8354857142857143
38,0.4569568538745102,0.8420730158730159
39,0.45614372083837723,0.8488178571428572
40,0.4553460812875972,0.8541325396825397
41,0.45453879136912095,0.8583162698412701
42,0.4538095128321817,0.8622551587301589
43,0.45319684921168457,0.8677960317460323
44,0.4526169072874378,0.8733757936507941
45,0.45204141059620334,0.876607936507937
46,0.45154948771206105,0.8815948412698418
47,0.4510176925333722,0.8838265873015877
48,0.45060966359798726,0.8879674603174604
49,0.45021519169575197,0.8906365079365078
50,0.44987732661242397,0.8939972222222222
51,0.44956770518720746,0.8968888888888888
52,0.4493379061102992,0.9012865079365081
53,0.44914673218555634,0.9047210317460322
54,0.44897174825057107,0.9069392857142862
55,0.4488546079045534,0.9089464285714289
56,0.44880175710155173,0.9130865079365085
57,0.4487780090985553,0.9161623015873019
58,0.4487911130253725,0.9188250000000003
59,0.44885992766028016,0.9211817460317465
60,0.4489839193248232,0.9246948412698418
61,0.44916440832757726,0.9266412698412705
62,0.44939021555794806,0.9287603174603183
63,0.44966655263880945,0.930317857142858
64,0.44998166617950813,0.9335416666666675
65,0.4503629625082027,0.9365317460317469
66,0.4508334557428575,0.9380376984126992
67,0.45131858927954066,0.9402531746031755
68,0.4518482482049145,0.9420448412698421
69,0.45231449066172313,0.9441972222222229
70,0.4528137407080962,0.9444829365079374
71,0.4531776016296745,0.9463353174603184
72,0.4534073221959095,0.9472638888888897
73,0.4534620230723779,0.9475734126984134
74,0.453490282582005,0.9475734126984134
75,0.4534885964643732,0.9479484126984135
76,0.45349007271858216,0.9479484126984135
77,0.45349180684029905,0.9479484126984135
78,0.45349380089730995,0.9479484126984135
79,0.45349635089630935,0.9479484126984135
80,0.45349955476988957,0.9479484126984135
81,0.4535041964166835,0.9479484126984135
82,0.45350981198462187,0.9479484126984135
83,0.4535161937844317,0.9479484126984135
84,0.45352285209018767,0.9479484126984135
85,0.4535290696910885,0.9479484126984135
86,0.4535290696910885,0.9479484126984135
87,0.4535290696910885,0.9479484126984135
88,0.4535290696910885,0.9479484126984135
89,0.4535290696910885,0.9479484126984135
90,0.4535290696910885,0.9479484126984135
91,0.4535290696910885,0.9479484126984135
92,0.4535290696910885,0.9479484126984135
93,0.4535290696910885,0.9479484126984135
94,0.4535290696910885,0.9479484126984135
95,0.4535290696910885,0.9479484126984135
96,0.4535290696910885,0.9479484126984135
97,0.4535290696910885,0.9479484126984135
98,0.4535290696910885,0.9479484126984135
99,0.4535290696910885,0.9479484126984135
100,0.4535290696910885,0.9479484126984135
